Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Name :(cid:9)LAXMI METAL SYNDICATE LLP Address (cid:9)(cid:9) :(cid:9) 01 OPP DASALADWADI,,,,,,,57,226.16 Account Statement from 1 Nov 2022 to 30 Nov 2022 Txn Date Value Description Ref No./Cheque Debit Credit Balance Date No. 1 Nov 2022 1 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 37,47,705.00 -7,62,9,521.16 NO: FROM HDFCR52022110156882756- 3199860044304 / MEWELECTRICALSLTD MEWELECTRICA LSLTD 2 Nov 2022 2 Nov 2022 CHQ TRANSFER-RTGS UTR 97272 LAXMI 36,0,047.20 -7,98,9,568.36 NO: METAL SBINR52022110212749807- SYNDICATE 97272 LAXMI METAL SYNDICATE 5 Nov 2022 5 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 4,2,437.00 -7,94,7,131.36 NO: FROM HDFCR52022110558037329- 3199856044300 / RAJFILTERSANDWIREMESH RAJFILTERSAND PVTLTD WIREMESHPVTL TD 7 Nov 2022 7 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 50,0,000.00 -7,44,7,131.36 NO: FROM FDRLR52022110733387286- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 7 Nov 2022 7 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 46,16,283.00 -6,97,90,848.36 NO: FROM FDRLR52022110733387289- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 7 Nov 2022 7 Nov 2022 CHQ TRANSFER-RTGS UTR 97273 LAXMI 1,0,0,047.2 -7,97,90,895.56 NO: METAL 0 SBINR52022110713684370- SYNDICATE 97273 LAXMI METAL SYNDICATE 9 Nov 2022 9 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 60,0,000.00 -7,37,90,895.56 NO: FROM UTIBR52022110900251539- 3199859044307 / LAXMI METAL SYNDICATE LAXMI METAL SYNDICATE,,,,,,,,,,,,,,,,,,,,,,,,,
Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Txn Date Value Description Ref No./Cheque Debit Credit Balance Date No. 9 Nov 2022 9 Nov 2022 CHQ TRANSFER-RTGS UTR 97274 K B 60,,,,,,,91,060.76 FOR CERSAI CHARGES- 3199841637513 10 Nov 10 Nov BY TRANSFER-RTGS UTR TRANSFER 16,28,099.00 -7,81,62,961.76 2022 2022 NO: FROM FDRLR52022111033393660- 3199856044300 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 10 Nov 10 Nov BY TRANSFER-RTGS UTR TRANSFER 50,0,000.00 -7,31,62,961.76 2022 2022 NO: FROM FDRLR52022111033393640- 3199860044304 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 10 Nov 10 Nov BY TRANSFER-RTGS UTR TRANSFER 50,0,000.00 -6,81,62,961.76 2022 2022 NO: FROM FDRLR52022111033393658- 3199856044300 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 10 Nov 10 Nov CHQ TRANSFER-RTGS UTR 97275 RADHIKA 1,15,0,047.2 -7,96,63,008.96 2022 2022 NO: CORE 0 SBINR52022111014287292- PROCESSING 97275 RADHIKA CORE PROCESSING 10 Nov 10 Nov BY TRANSFER- TRANSFER 29,97,000.00 -7,66,66,008.96 2022 2022 NEFT*HDFC0000240*N314222 FROM 201203439*MEW 3199966044306 ELECTRICALS- 11 Nov 11 Nov BY TRANSFER-RTGS UTR TRANSFER 47,0,608.00 -7,19,65,400.96 2022 2022 NO: FROM HDFCR52022111159435771- 3199859044307 / MEWELECTRICALSLTD MEWELECTRICA LSLTD 11 Nov 11 Nov CHQ TRANSFER-RTGS UTR 97276 LAXMI 75,0,047.20 -7,94,65,448.16 2022 2022 NO: METAL SBINR52022111114549517- SYNDICATE 97276 LAXMI METAL SYNDICATE 14 Nov 14 Nov BY TRANSFER-RTGS UTR TRANSFER 20,0,000.00 -7,74,65,448.16 2022 2022 NO: FROM FDRLR52022111433398823- 3199860044304 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 14 Nov 14 Nov CHQ TRANSFER-RTGS UTR 97277 LAXMI 20,0,047.20 -7,94,65,495.36 2022 2022 NO: METAL SBINR52022111414826607- SYNDICATE 97277 LAXMI METAL SYNDICATE 15 Nov 15 Nov BY TRANSFER-RTGS UTR TRANSFER 50,0,000.00 -7,44,65,495.36 2022 2022 NO: FROM FDRLR52022111533312190- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 15 Nov 15 Nov BY TRANSFER-RTGS UTR TRANSFER 30,0,000.00 -7,14,65,495.36 2022 2022 NO: FROM FDRLR52022111533312215- 3199856044300 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 15 Nov 15 Nov CHQ TRANSFER-RTGS UTR 97278 K B 50,0,047.20 -7,64,65,542.56 2022 2022 NO: UDHYOG LLP SBINR52022111515084159- 97278 K B UDHYOG LLP
Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov-22,9-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022110914042363- 97274 K B UDHYOG LLP,97274 K B UDHYOG LLP,6000047.2,,-79790942.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov-22,9-Nov-22,TO TRANSFER-RECOVERIES FOR CERSAI CHARGES-,TRANSFER TO 3199841637513,118,,-79791060.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-22,10-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022111033393660- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199856044300 / GLOBAL COPPER PRIVATE LIMITED,,1628099,-78162961.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-22,10-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022111033393640- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199860044304 / GLOBAL COPPER PRIVATE LIMITED,,5000000,-73162961.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-22,10-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022111033393658- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199856044300 / GLOBAL COPPER PRIVATE LIMITED,,5000000,-68162961.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-22,10-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022111014287292- 97275 RADHIKA CORE PROCESSING,97275 RADHIKA CORE PROCESSING,11500047.2 0,,-79663008.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-22,10-Nov-22,BY TRANSFER- NEFT*HDFC0000240*N314222 201203439*MEW ELECTRICALS-,TRANSFER FROM 3199966044306,,2997000,-76666008.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov-22,11-Nov-22,BY TRANSFER-RTGS UTR NO: HDFCR52022111159435771- MEWELECTRICALSLTD,TRANSFER FROM 3199859044307 / MEWELECTRICA LSLTD,,4700608,-71965400.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
